text,source,brand,created_at
Цена бензина завышена почти на 5 рублей!,vk,PPR,2025-06-11T08:00
Оформление аренды заняло всего 10 минут — отлично.,vk,PPR,2025-06-11T08:30
"Поддержка молчала 40 минут, пришлось звонить второй раз.",crm,PPR,2025-06-11T09:00
КонкурентX выдал машину быстрее нас же в Пулково.,tg,CompetitorX,2025-06-11T09:30
"Удобный интерфейс приложения, никаких глюков 👍",tg,PPR,2025-06-11T10:00
СМС с кодом подтверждения не пришла — не смог завершить заказ.,tg,PPR,2025-06-11T10:30
"Сотрудник на стойке хамил, испортил впечатление.",vk,PPR,2025-06-11T11:00
"Навигатор в авто устарел, карты не обновлялись два года.",fb,PPR,2025-06-11T11:30
Встречают в аэропорту с табличкой — супер сервис!,vk,PPR,2025-06-11T12:00
"Заправка на станции CompetitorY прошла за 3 минуты, у вас дольше.",fb,CompetitorY,2025-06-11T12:30
"Тарифы прозрачные, никаких скрытых платежей.",forum,PPR,2025-06-11T13:00
Отсутствует возможность оплаты через Apple Pay — неудобно.,vk,PPR,2025-06-11T13:30
"Получил машину с грязным салоном, очень разочарован.",vk,PPR,2025-06-11T14:00
Бесплатный апгрейд до следующего класса — приятно!,vk,PPR,2025-06-11T14:30
"КонкурентX предлагает скидку 10 % на корпоративный парк, рассмотрим их.",tg,CompetitorX,2025-06-11T15:00
"Сторнировал заказ, а деньги вернулись только через неделю.",tg,PPR,2025-06-11T15:30
Мобильное приложение вылетает при выборе места возврата.,fb,PPR,2025-06-11T16:00
"Спасибо за быструю замену авто на дороге, выручили.",fb,PPR,2025-06-11T16:30
"Ваши цены ниже, чем у CompetitorY — берём у вас.",vk,CompetitorY,2025-06-11T17:00
"Система лояльности непонятная, где посмотреть баллы?",fb,PPR,2025-06-11T17:30
